2016-01-06T15:19:37Z,b'Christie Under Attack as Rivals Sense Him Rising in NH',b'By THE ASSOCIATED PRESS',"b""Chris Christie is the Republican presidential candidate to beat in second-to-vote New Hampshire &#8212; so say the super PACs helping the New Jersey governor's rivals.""",709,NA
2016-01-06T15:07:49Z,"b""Cruz's Birth in Canada Unlikely to Cloud Run for President""",b'By THE ASSOCIATED PRESS',"b""It seems like only yesterday that skeptics of Barack Obama's birth in Hawaii rushed to the Supreme Court to try to block the son of an American mother and Kenyan father from taking office as president. The justices turned away those challenges as fast as they arrived at the courthouse door, much as lower courts did.""",702,NA
2016-01-06T14:50:41Z,b'Cruz-Rubio Battle Over Undecided Iowans Intensifies',b'By THE ASSOCIATED PRESS',"b""Marco Rubio and Ted Cruz are fighting for the favor of many of the same undecided voters across Iowa, where even some of the most attentive Republicans say they can't make up their minds less than four weeks before voting begins.""",846,NA
2016-01-06T13:26:10Z,"b'Trump Joshes With Audience Over Muslim Comments, Clinton'",b'By THE ASSOCIATED PRESS',b'Republican presidential contender Donald Trump was plainly in his wheelhouse at his latest rally when supporters made cracks about Hillary Clinton and Muslims supposedly running America.',395,NA
2016-01-06T09:53:14Z,b'North Korea Bomb Claim a New Challenge for Clinton Campaign',b'By REUTERS',"b""To Republican U.S. presidential contenders, North Korea&#8217;s claim that it tested a hydrogen bomb may further make the 2016 race what they dearly want it to be: a referendum on President Barack Obama's foreign policy and, by extension, Hillary Clinton&#8217;s. """,833,NA
2016-01-06T08:55:13Z,b'Donald Trump Keeps Pushing Ted Cruz Citizenship Issue',b'By ALAN RAPPEPORT',,1067,"['Cruz, Ted']"
2016-01-06T08:52:44Z,b'Trump Says China Should Solve North Korea Problem: FOX',b'By REUTERS',b'U.S. Republican presidential candidate Donald Trump said on Wednesday that China should take the lead in tackling North Korea after that country alarmed the international community by saying it successfully tested a hydrogen nuclear device.',82,NA
2016-01-06T07:00:59Z,"b'A Day of Policy, Dropped Guards and Rancor'",b'By MAGGIE HABERMAN',,344,"['Obama, Barack']"
2016-01-06T06:15:25Z,b'Supporters Seek to Persuade Democrats to &#8216;Ditch and Switch&#8217; for Donald Trump',b'By ALAN RAPPEPORT',,497,"['Trump, Donald J']"
2016-01-06T03:20:00Z,b'Do Non-Muslims Help or Hurt Women by Wearing Hijabs?',b'By ALAN RAPPEPORT',,2435,News
2016-01-06T00:00:00Z,"b'Purity, Disgust and Donald Trump'",b'By THOMAS B. EDSALL',b'What wellspring of feeling is the leading Republican candidate tapping into that his opponents aren\xe2\x80\x99t?',1752,['Presidential Election of 2016']
2016-01-06T00:00:00Z,b'Up With Extremism',b'By THOMAS L. FRIEDMAN',b'Here\xe2\x80\x99s the radical campaign platform we need. We\xe2\x80\x99re just not ready for it.',850,['Presidential Election of 2016']
2016-01-06T00:00:00Z,b'Britain: Parliament to Debate Closing Border to Trump',b'By THE ASSOCIATED PRESS',b'British lawmakers will debate a petition that calls for the Republican presidential candidate Donald J. Trump to be barred from Britain.',99,['Great Britain']
2016-01-06T00:00:00Z,b'The Clintons\xe2\x80\x99 Secret Language',b'By FRANK BRUNI',b'Bill and Hillary have a marriage like any other \xe2\x80\x94 it\xe2\x80\x99s unknowable from the outside.',788,['Presidential Election of 2016']
2016-01-06T00:00:00Z,"b'Racial Identity, and Its Hostilities, Are on the Rise in American Politics'",b'By EDUARDO PORTER',"b'In an important shift, racial, ethnic and cultural identity is recovering its role as a main driver of political choice.'",1079,['Presidential Election of 2016']
2016-01-06T00:00:00Z,"b'Animals, Auctions and Death: Outside Albany, Some Lawmakers Serve Different Interests'",b'By VIVIAN YEE',"b'Outside income has led to corruption, but it also means a Legislature with a veterinarian, an undertaker and a church organist, among other occupations.'",1227,['New York State']
2016-01-05T22:52:30Z,b'Ted Cruz Shrugs Off Donald Trump&#8217;s Questioning His Citizenship',b'By MAGGIE HABERMAN and MATT FLEGENHEIMER',,485,"['Cruz, Ted']"
2016-01-05T22:46:20Z,b'Trump Feigns Outrage After Rally-Goer Calls Leaders Muslim',b'By THE ASSOCIATED PRESS',b'Republican presidential candidate Donald Trump drew heat in September when he failed to correct a rally-goer who incorrectly labeled President Barack Obama a Muslim.',500,NA
2016-01-05T21:54:23Z,"b'Hillary Clinton Pitches Her Qualifications, With Only Hints of the Opposition'",b'By AMY CHOZICK',,498,"['Clinton, Hillary Rodham']"
2016-01-05T20:23:18Z,"b""Trump Says Rival Cruz's Canadian Birthplace Could Be 'Big Problem': Washington Post""",b'By REUTERS',"b""Republican presidential front-runner Donald Trump has waded back into the topic of eligibility for the U.S. presidency, telling the Washington Post that rival Ted Cruz could run into trouble if he won the party's nomination because he was born in Canada.""",393,NA
2016-01-05T19:35:17Z,b'Cruz Downplays Trump Raising Concerns Over Canadian Birth',b'By THE ASSOCIATED PRESS',"b""Ted Cruz tried to make a joke Tuesday out of Republican presidential rival Donald Trump raising questions about whether the Texas senator's birth in Canada could be a liability if he becomes the GOP's nominee.""",747,NA
2016-01-05T15:12:03Z,"b""Sen. Rubio: Can't 'Fix America' From GOP-Held House, Senate""",b'By THE ASSOCIATED PRESS',"b""After five years in the Senate, Florida Sen. Marco Rubio is dismissing Congress' ability to change much about America.""",334,NA
2016-01-05T14:49:58Z,b'What Would You Ask Donald Trump?',b'By THE EDITORS',,81,"['Trump, Donald J']"
